L.iso,F.id
ahg,87A
ahg,88A
ahg,90A
ahg,90B
ahg,92A
ahg,95A
ahg,96A
ahg,97A
ahg,105A
ahg,111A
ahg,112A
ahg,113A
ahg,114A
ahg,116A
ahg,121A
ahg,124A
ahg,143A
ahg,143E
ahg,143F
ahg,143G
ahg,144A
ahg,144L
ahg,144P
ahg,144Q
ahg,144R
ahg,144S
ahk,26A
ahk,51A
ahk,69A
ahk,77A
ahk,78A
ahk,81A
ahk,82A
ahk,83A
ahk,85A
ahk,86A
ahk,87A
ahk,88A
ahk,89A
ahk,90A
ahk,90B
ahk,91A
ahk,92A
ahk,93A
ahk,94A
ahk,95A
ahk,96A
ahk,97A
ahk,105A
ahk,112A
ahk,116A
ahk,124A
ahk,143A
ahk,143E
ahk,143F
ahk,143G
ahk,144A
ahk,144B
ahk,144L
ahk,144P
ahk,144Q
ahk,144R
ahk,144S
ahp,1A
ahp,2A
ahp,3A
ahp,4A
ahp,5A
ahp,6A
ahp,7A
ahp,8A
ahp,11A
ahp,12A
ahp,18A
ahp,19A
aht,1A
aht,2A
aht,3A
aht,4A
aht,5A
aht,6A
aht,7A
aht,8A
aht,11A
aht,12A
aht,13A
aht,18A
aht,19A
aht,129A
aht,130A
aht,138A
ain,1A
ain,2A
ain,3A
ain,4A
ain,5A
ain,6A
ain,7A
ain,8A
ain,9A
ain,10A
ain,11A
ain,12A
ain,13A
ain,18A
ain,19A
ain,22A
ain,23A
ain,24A
ain,25A
ain,25B
ain,26A
ain,27A
ain,28A
ain,29A
ain,30A
ain,31A
ain,32A
ain,33A
ain,34A
ain,35A
ain,36A
ain,39A
ain,40A
ain,41A
ain,42A
ain,43A
ain,44A
ain,45A
ain,46A
ain,48A
ain,49A
ain,50A
ain,51A
ain,52A
ain,53A
ain,54A
ain,55A
ain,56A
ain,57A
ain,58A
ain,58B
ain,59A
ain,60A
ain,63A
ain,64A
ain,65A
ain,66A
ain,67A
ain,68A
ain,69A
ain,70A
ain,71A
ain,72A
ain,73A
ain,74A
ain,75A
ain,76A
ain,77A
ain,78A
ain,79A
ain,79B
ain,80A
ain,81A
ain,82A
ain,83A
ain,85A
ain,86A
ain,87A
ain,88A
ain,89A
ain,90A
ain,90B
ain,92A
ain,93A
ain,94A
ain,95A
ain,96A
ain,97A
ain,98A
ain,99A
ain,100A
ain,101A
ain,102A
ain,103A
ain,104A
ain,105A
ain,106A
ain,107A
ain,108A
ain,108B
ain,109A
ain,109B
ain,111A
ain,112A
ain,113A
ain,114A
ain,115A
ain,116A
ain,117A
ain,118A
ain,119A
ain,120A
ain,124A
ain,125A
ain,126A
ain,127A
ain,128A
ain,129A
ain,131A
ain,136A
ain,136B
ain,137A
ain,137B
ain,143A
ain,143E
ain,143F
ain,143G
ain,144A
ain,144B
ain,144L
ain,144P
ain,144Q
ain,144R
ain,144S
aiw,26A
aiw,33A
aiw,37A
aiw,38A
aiw,51A
aiw,57A
aiw,69A
aiw,82A
aiw,83A
aiw,85A
aiw,86A
aiw,87A
aiw,88A
aiw,89A
aiw,90A
aiw,90C
aiw,92A
aiw,95A
aiw,96A
aiw,97A
aiw,101A
aiw,112A
aiw,116A
aiw,143A
aiw,143E
aiw,143F
aiw,143G
aiw,144A
aiw,144L
aja,69A
aja,81A
aja,82A
aja,83A
aja,85A
aja,86A
aja,87A
aja,89A
aja,95A
aja,97A
aja,101A
aja,143A
aja,143E
aja,143F
aja,143G
aja,144A
aja,144B
aja,144D
aja,144H
aja,144I
aja,144J
aja,144K
ajg,33A
ajg,51A
ajg,57A
ajg,81A
ajg,81B
ajg,82A
ajg,83A
ajg,84A
ajg,85A
ajg,86A
ajg,87A
ajg,88A
ajg,89A
ajg,90A
ajg,90C
ajg,92A
ajg,95A
ajg,96A
ajg,97A
ajg,112A
ajg,116A
