L.glottocode,name,dataset,dialect,Consonant,Vowel,Group
tera1251,Tera,uz,Tera - Tera (speakers from the towns Deba,35,15,35015
khan1273,Khanty,ea,Northern Khanty - Northern Khanty (Kazym),26,10,26010
madn1237,Matngele,er,Matngele - ~N/A~,17,5,17005
nyam1276,Nyamwezi,ph,Kinyamwezi - ~N/A~,36,14,36014
khar1287,Kharia,spa,Kharia - ~N/A~,31,10,31010
west2397,Bru (Western),upsid,BRUU - ~N/A~,20,22,20022
avar1256,Avar,upsid,AVAR - ~N/A~,44,5,44005
kung1261,!Xun (Ekoka),gm,!Xun - W2,95,21,95021
ukra1253,Ukrainian,ph,Ukrainian - ~N/A~,24,6,24006
shar1245,Sharanahua,saphon,Arara do Acre - ~N/A~,14,8,14008
gude1246,Gude,aa,Guɗe - ~N/A~,30,4,30004
yoru1245,Yoruba,aa,Yorouba - Yorouba (Benin),19,12,19012
khas1269,Khasi,spa,Khasi - ~N/A~,19,9,19009
iraq1241,Iraqw,upsid,IRAQW - ~N/A~,33,12,33012
atam1239,Uradhi,er,Uradhi - ~N/A~,18,4,18004
araw1276,Arawak,saphon,Lokono - ~N/A~,16,5,16005
east2295,Yiddish (Bessarabian),ea,Eastern Yiddish - Eastern Yiddish (Central),24,13,24013
stan1288,Spanish,ea,Spanish - Spanish (Castilian),18,7,18007
biri1256,Biri,er,Yuwi - ~N/A~,15,3,15003
leal1235,Chinantec (Lealao),ph,Chinanteco - ~N/A~,28,7,28007
coca1259,Cocama,saphon,Kokama-Kokamilla - ~N/A~,11,5,11005
sida1246,Sidaama,ph,Sidaama; Sidamo; Sidamic - ~N/A~,25,10,25010
east2328,Mari (Meadow),ea,Meadow Mari - Meadow Mari (Joškar-Ola),21,10,21010
camp1261,Sardinian,ea,Campidanese Sardinian - Campidanese Sardinian (Sestu),44,14,44014
yine1238,Piro,ph,Yine - ~N/A~,16,10,16010
yagu1244,Yagua,saphon,Yagua - ~N/A~,11,12,11012
halb1244,Halbi,ra,Halbi - ~N/A~,29,13,29013
apat1240,Apatani,ra,Apatani - ~N/A~,24,13,24013
ndog1248,Ndogo,gm,Ndogo - ~N/A~,29,5,29005
haus1257,Hausa,aa,Hausa - Hausa (Niger),33,10,33010
cogu1240,Cogui,saphon,Kogi - ~N/A~,24,12,24012
pech1241,Pech,upsid,PAYA - ~N/A~,18,10,18010
igna1246,Ignaciano,spa,Moxo - ~N/A~,21,4,21004
even1260,Even,ea,Even - Even (Ola),18,18,18018
kala1399,Greenlandic (West),spa,Inuit - ~N/A~,32,6,32006
wikm1247,Wik Munkan,upsid,WIK-MUNKAN - ~N/A~,13,5,13005
isok1239,Isoko,upsid,ISOKO - ~N/A~,28,9,28009
west2443,Madimadi,er,East Djadjawurung - ~N/A~,17,4,17004
enap1235,Panare,saphon,Panare - ~N/A~,13,7,13007
mudb1240,Mudburra,er,Mudburra - ~N/A~,17,6,17006
torw1241,Torwali,ph,Torwali - ~N/A~,38,13,38013
quio1240,Chinantec (Quiotepec),upsid,HIGHLAND CHINANTEC - ~N/A~,26,15,26015
furr1244,Fur,upsid,FUR - ~N/A~,19,11,19011
tigr1271,Tigrinya,gm,Tigrinya - ~N/A~,32,7,32007
mara1385,Mara,er,Marra - ~N/A~,19,4,19004
dalo1238,Bété,upsid,BETE - ~N/A~,24,13,24013
djin1251,Djingili,er,Jingulu - ~N/A~,17,3,17003
ying1247,Yingkarta,er,Yingkarta - ~N/A~,20,6,20006
lada1244,Ladakhi,ra,Ladakhi - ~N/A~,37,8,37008
madi1260,Ma'di,ph,Ma'di - ~N/A~,45,9,45009
ntch1242,Ncàm,gm,Basari - ~N/A~,21,6,21006
stan1293,English,uz,English (Australian) - ~N/A~,25,19,25019
ming1252,Mingrelian,ea,Mingrelian - Mingrelian (Senaki),31,5,31005
jama1261,Banawá,ph,Jarawara - ~N/A~,11,4,11004
kota1263,Kota,spa,Kota - ~N/A~,23,11,23011
embe1262,Embera Chami,saphon,Emberá-Chamí - ~N/A~,16,12,16012
cams1241,Camsá,saphon,Camsá - ~N/A~,21,6,21006
thak1245,Thakali,ea,Thakali - ~N/A~,19,10,19010
west2560,Bajau (West Coast),ph,Bajau,17,6,17006
nucl1696,Tangale,gm,Tangale - ~N/A~,40,18,40018
toto1305,Mixe (Totontepec),upsid,MIXE - ~N/A~,14,9,14009
dibo1245,Babole,gm,babole - ~N/A~,21,6,21006
moco1246,Mocoví,saphon,Mocoví - ~N/A~,21,8,21008
mach1267,Machiguenga,saphon,Matsigenka - ~N/A~,18,9,18009
mund1320,Mundari,ea,Mundari - ~N/A~,23,5,23005
esee1248,Ese Ejja,saphon,Ese Ejja - Bolivia,17,4,17004
mana1288,Manange,ph,Manange - ~N/A~,30,10,30010
chep1245,Chepang,ph,Chepang - ~N/A~,18,6,18006
sanu1240,Sanuma,saphon,Sanumá - ~N/A~,11,13,11013
ngba1285,Ngbaka (Minagende),aa,Ngbaka - ~N/A~,22,12,22012
ajab1235,Ajagbe,aa,Adja - Adja (Bénin),28,12,28012
luxe1241,Luxemburgeois,uz,Luxembourgish - Standard central Luxembourgish,24,22,24022
zulu1248,Zulu,spa,Zulu - ~N/A~,35,5,35005
besi1244,Mah Meri,uz,Mah Meri - Mah Meri (as spoken in Kampong Orang Asli Bukit Bangkong,30,28,30028
buru1296,Burushaski,upsid,BURUSHASKI - ~N/A~,38,5,38005
bimo1239,Bimoba,aa,Bimoba - ~N/A~,22,18,22018
daww1239,Dâw,saphon,Dâw - ~N/A~,24,15,24015
vlax1238,Romani (Kalderash),ea,Vlax Romani - Vlax Romani (Mitrovica),27,7,27007
ngan1291,Nganasan,ea,Nganasan - Nganasan (Avam),20,10,20010
shab1252,Shabo,ph,Shabo - ~N/A~,28,13,28013
