Name,ISO,Genus,Family,Macroarea,Latitude,Longitude,Countries
Nicobarese,ncb,Nicobarese,Austro-Asiatic,Eurasia,7,93.83,India
Nicobarese (Car),caq,Nicobarese,Austro-Asiatic,Eurasia,9,93,India
Nigerian Pidgin,pcm,Creoles and Pidgins,other,Africa,6.5,3.33,Nigeria
Nimboran,nir,Nimboran,Nimboran,Papunesia,-2.5,140.17,Indonesia
Ningil,niz,Wapei-Palei,Torricelli,Papunesia,-3.5,142.25,Papua New Guinea
Nisgha,ncg,Tsimshianic,Penutian,North America,55,-130,Canada
Nivacle,cag,Matacoan,Matacoan,South America,-23.5,-60.5,Paraguay
Nivkh,niv,Nivkh,Nivkh,Eurasia,53.33,142,Russia
Nivkh (South Sakhalin),niv,Nivkh,Nivkh,Eurasia,47,142.5,Russia
Nkonya,nko,Kwa,Niger-Congo,Africa,7.17,0.25,Ghana
Nobiin,fia,Nubian,Eastern Sudanic,Africa,21,31,Egypt
Nomatsiguenga,not,Pre-Andine Arawakan,Arawakan,South America,-11.67,-74.5,Peru
Noni,nhu,Bantoid,Niger-Congo,Africa,6.42,10.58,Cameroon
Norwegian,nob,Germanic,Indo-European,Eurasia,61,8,Norway
Ntomba,nto,Bantoid,Niger-Congo,Africa,-2,18.33,Democratic Republic of Congo
Nubi,kcn,Creoles and Pidgins,other,Africa,0.67,32.08,Uganda
Nuer,nus,Nilotic,Eastern Sudanic,Africa,8.33,32,Ethiopia
Nukak,mbr,Cacua-Nukak,Cacua-Nukak,South America,2.5,-71.5,Colombia
Nung (in Vietnam),nut,Kam-Tai,Tai-Kadai,Eurasia,21.92,106.42,Vietnam
Nunggubuyu,nuy,Nunggubuyu,Gunwinyguan,Australia,-13.75,135.67,Australia
Nuni (Northern),nuv,Southern-Central Gur,Niger-Congo,Africa,12.17,-3,Burkina Faso
Nuosu,iii,Burmese-Lolo,Sino-Tibetan,Eurasia,28,103,China
Nupe,nup,Nupoid,Niger-Congo,Africa,9.17,5.42,Nigeria
Nyah Kur (Tha Pong),cbn,Monic,Austro-Asiatic,Eurasia,15.67,101.67,Thailand
Nyamal,nly,Western Pama-Nyungan,Pama-Nyungan,Australia,-21,119,Australia
Nyambo,now,Bantoid,Niger-Congo,Africa,-1,31.33,Tanzania
Nyamwezi,nym,Bantoid,Niger-Congo,Africa,-5,33,Tanzania
Nyangi,nyp,Kuliak,Eastern Sudanic,Africa,3.42,33.58,Uganda
Nyangumarda,nna,Western Pama-Nyungan,Pama-Nyungan,Australia,-20,121,Australia
Nyawaygi,nyt,Northern Pama-Nyungan,Pama-Nyungan,Australia,-19,146.17,Australia
Nyigina,nyh,Nyulnyulan,Nyulnyulan,Australia,-18,124.33,Australia
Nyimang,nyi,Nyimang,Eastern Sudanic,Africa,12.17,29.33,Sudan
Nyishi,njz,Tani,Sino-Tibetan,Eurasia,27.5,93.5,India
Nyulnyul,nyv,Nyulnyulan,Nyulnyulan,Australia,-17,122.83,Australia
Nyungar,nys,Western Pama-Nyungan,Pama-Nyungan,Australia,-33.75,122,Australia
Obolo,ann,Cross River,Niger-Congo,Africa,4.58,7.83,Nigeria
Ocaina,oca,Huitoto,Huitotoan,South America,-2.75,-71.75,Peru
Occitan,oci,Romance,Indo-European,Eurasia,44,2,France
Ogbia,ogb,Cross River,Niger-Congo,Africa,4.67,6.25,Nigeria
Oirat,xal,Mongolic,Altaic,Eurasia,37.5,93,China
Oku,oku,Bantoid,Niger-Congo,Africa,6.25,10.5,Cameroon
Olutec,plo,Mixe-Zoque,Mixe-Zoque,North America,17.95,-95,Mexico
Omagua,omg,Tupi-Guaran�,Tupian,South America,-4,-73.5,Peru
Oneida,one,Northern Iroquoian,Iroquoian,North America,43,-75.67,United States
Onge,oon,South Andamanese,South Andamanese,Eurasia,10.75,92.42,India
O'odham,ood,Tepiman,Uto-Aztecan,North America,32,-112,Mexico
Orej�n,ore,Tucanoan,Tucanoan,South America,-2.83,-72.5,Peru
Ormuri,oru,Iranian,Indo-European,Eurasia,32.5,69.75,Pakistan
Orokaiva,okv,Binanderean,Trans-New Guinea,Papunesia,-8.83,148.25,Papua New Guinea
Oromo (Boraana),gax,Lowland East Cushitic,Afro-Asiatic,Africa,4.5,38.5,Kenya
Oromo (Harar),hae,Lowland East Cushitic,Afro-Asiatic,Africa,9,42,Ethiopia
Ossetic,oss,Iranian,Indo-European,Eurasia,43,44,Russia
Otom� (Mezquital),ote,Otomian,Oto-Manguean,North America,20.17,-99.17,Mexico
Otoro,otr,Heiban,Kordofanian,Africa,11.17,30.5,Sudan
Paakantyi,drl,Central Pama-Nyungan,Pama-Nyungan,Australia,-32.5,142.5,Australia
Pacoh,pac,Katuic,Austro-Asiatic,Eurasia,16.42,107.08,Vietnam
P�ez,pbb,P�ezan,P�ezan,South America,2.67,-76,Colombia
Paite,pck,Kuki-Chin,Sino-Tibetan,Eurasia,24,93.17,India
Paiute (Northern),pao,Numic,Uto-Aztecan,North America,42,-118,United States
Paiute (Southern),ute,Numic,Uto-Aztecan,North America,37.83,-113.33,United States
Paiwan,pwn,Paiwan,Austronesian,Papunesia,22.5,120.83,Taiwan
Pakanha,pkn,Northern Pama-Nyungan,Pama-Nyungan,Australia,-14.5,142.42,Australia
Palauan,pau,Palauan,Austronesian,Papunesia,7.5,134.58,Palau
Palikur,plu,Eastern Arawakan,Arawakan,South America,3,-51,Brazil
Palor,fap,Cangin,Niger-Congo,Africa,14.83,-16.75,Senegal
Panar�,kre,Ge-Kaingang,Macro-Ge,South America,-10,-55,Brazil
Panare,pbh,Cariban,Cariban,South America,6.5,-66,Venezuela
Pangasinan,pag,Northern Luzon,Austronesian,Papunesia,15.92,120.33,Philippines
Pangwa,pbr,Bantoid,Niger-Congo,Africa,-10,34.75,Tanzania
Panjabi,pan,Indic,Indo-European,Eurasia,31,74,Pakistan
Panyjima,pnw,Western Pama-Nyungan,Pama-Nyungan,Australia,-22.83,118.42,Australia
Parauk,prk,Palaungic,Austro-Asiatic,Eurasia,23.25,99.5,China
Paresi,pab,Central Arawakan,Arawakan,South America,-14,-57.5,Brazil
Parji (Dravidian),pci,Central Dravidian,Dravidian,Eurasia,19.5,82.5,India
Pashto,pst,Iranian,Indo-European,Eurasia,33,67,Pakistan
Patep,ptp,Oceanic,Austronesian,Papunesia,-6.92,146.58,Papua New Guinea
Pattani,lae,Bodic,Sino-Tibetan,Eurasia,32.75,76.75,India
Paumar�,pad,Arauan,Arauan,South America,-6,-64,Brazil
Pech,pay,Paya,Chibchan,North America,15,-85.5,Honduras
Pemon,aoc,Cariban,Cariban,South America,5.33,-62,Guyana
Pengo,peg,South-Central Dravidian,Dravidian,Eurasia,19.83,83.83,India
Pero,pip,West Chadic,Afro-Asiatic,Africa,9.58,11,Nigeria
Persian,pes,Iranian,Indo-European,Eurasia,32,54,Iran
Phlong,pww,Karen,Sino-Tibetan,Eurasia,15,99,Thailand
Piapoco,pio,Inland Northern Arawakan,Arawakan,South America,4,-69.5,Colombia
Piaroa,pid,Piaroa,S�liban,South America,5,-67,Venezuela
Pilag�,plg,South Guaicuruan,Guaicuruan,South America,-25,-60,Argentina
Pintupi,piu,Western Pama-Nyungan,Pama-Nyungan,Australia,-23,129,Australia
Pirah�,myp,Mura,Mura,South America,-7,-62,Brazil
Piratapuyo,pir,Tucanoan,Tucanoan,South America,0.33,-69.5,Colombia
Piro,pib,Purus,Arawakan,South America,-11,-73.5,Peru
Pitjantjatjara,pjt,Western Pama-Nyungan,Pama-Nyungan,Australia,-26,130,Australia
Pitta Pitta,pit,Central Pama-Nyungan,Pama-Nyungan,Australia,-22.83,140,Australia
Podoko,pbi,Biu-Mandara,Afro-Asiatic,Africa,11,14.08,Cameroon
Pohnpeian,pon,Oceanic,Austronesian,Papunesia,6.88,158.25,Micronesia
Pokot,pko,Nilotic,Eastern Sudanic,Africa,1.5,35.5,Kenya
Polish,pol,Slavic,Indo-European,Eurasia,52,20,Poland
Pomo (Northern),pej,Pomoan,Hokan,North America,39.33,-123.5,United States
