glottocode,Phoneme,dataset
seda1262,n̠d̠ʒ,spa
seda1262,n̥,spa
seda1262,p,spa
seda1262,pʰ,spa
seda1262,r,spa
seda1262,r̥,spa
seda1262,s,spa
seda1262,t,spa
seda1262,tʰ,spa
seda1262,t̠ʃ,spa
seda1262,w,spa
seda1262,ŋ,spa
seda1262,ŋɡ,spa
seda1262,ŋ̥,spa
seda1262,ɲ,spa
seda1262,ɲ̥,spa
seda1262,ʃ,spa
seda1262,ʍ,spa
seda1262,ʔ,spa
seda1262,ˀb,spa
seda1262,ˀd,spa
seda1262,ˀl,spa
seda1262,ˀm,spa
seda1262,ˀn,spa
seda1262,ˀr,spa
seda1262,ˀw,spa
seda1262,ˀŋ,spa
seda1262,ˀɲ,spa
seda1262,a,spa
seda1262,a̰,spa
seda1262,e,spa
seda1262,ḛ,spa
seda1262,i,spa
seda1262,ḭ,spa
seda1262,o,spa
seda1262,o̰,spa
seda1262,u,spa
seda1262,ṵ,spa
seda1262,ɔ,spa
seda1262,ɔ̰,spa
seda1262,ɛ,spa
seda1262,ɛ̰,spa
cent1989,h,spa
cent1989,j,spa
cent1989,k,spa
cent1989,kʰ,spa
cent1989,lˠ,spa
cent1989,m,spa
cent1989,n,spa
cent1989,p,spa
cent1989,pʰ,spa
cent1989,s,spa
cent1989,t,spa
cent1989,tʰ,spa
cent1989,t̠ʃ,spa
cent1989,t̠ʃʰ,spa
cent1989,ŋ,spa
cent1989,ɓ,spa
cent1989,ɗ,spa
cent1989,ɲ,spa
cent1989,ɽ,spa
cent1989,ʋ,spa
cent1989,ʔ,spa
cent1989,a̟,spa
cent1989,a̟̙ː,spa
cent1989,ei̙,spa
cent1989,e̘ː,spa
cent1989,iː,spa
cent1989,ou̙,spa
cent1989,o̘ː,spa
cent1989,uː,spa
cent1989,ɒ,spa
cent1989,ɒː,spa
cent1989,ɔ,spa
cent1989,ɔ̘ː,spa
cent1989,ə,spa
cent1989,əɨ̙,spa
cent1989,ə̘ː,spa
cent1989,ɛ,spa
cent1989,ɛ̘ː,spa
cent1989,ɨː,spa
cent1989,ɪ,spa
cent1989,ɪ̈,spa
cent1989,ʊ,spa
viet1252,c,spa
viet1252,f,spa
viet1252,h,spa
viet1252,j,spa
viet1252,k,spa
viet1252,l,spa
viet1252,m,spa
viet1252,n,spa
viet1252,s,spa
viet1252,t,spa
viet1252,tʰ,spa
viet1252,v,spa
viet1252,w,spa
viet1252,x,spa
viet1252,z,spa
viet1252,ŋ,spa
viet1252,ɓ,spa
viet1252,ɗ,spa
viet1252,ɣ,spa
viet1252,ɲ,spa
viet1252,ʔ,spa
viet1252,˦˥,spa
viet1252,˦˥̰,spa
viet1252,˧,spa
viet1252,˨˩,spa
viet1252,˨˩̤,spa
viet1252,˩̰,spa
viet1252,a̟ː,spa
viet1252,e,spa
viet1252,o,spa
viet1252,ɐ,spa
viet1252,ɔ,spa
viet1252,ɛ,spa
viet1252,ɤ,spa
viet1252,ɪ,spa
viet1252,ɯ̞,spa
viet1252,ʊ,spa
viet1252,ʌ,spa
viet1252,ʌ̯,spa
mand1415,cç,spa
mand1415,cçʰ,spa
mand1415,f,spa
mand1415,j,spa
mand1415,k,spa
mand1415,kʰ,spa
mand1415,l,spa
mand1415,m,spa
mand1415,n,spa
mand1415,p,spa
mand1415,pʰ,spa
mand1415,s,spa
mand1415,t,spa
mand1415,ts,spa
mand1415,tsʰ,spa
mand1415,tʰ,spa
mand1415,w,spa
mand1415,w˞,spa
mand1415,ç,spa
mand1415,ŋ,spa
mand1415,ɥ,spa
mand1415,ɰ,spa
mand1415,ʂ,spa
mand1415,ʈʂ,spa
mand1415,ʈʂʰ,spa
mand1415,ʐ,spa
mand1415,χ,spa
mand1415,˥,spa
mand1415,˥˦,spa
mand1415,˧˥,spa
mand1415,˧˨˥,spa
mand1415,a,spa
mand1415,a˞,spa
mand1415,a̟˞,spa
mand1415,i,spa
mand1415,u,spa
mand1415,u˞,spa
mand1415,y,spa
mand1415,ɑ̃˞,spa
mand1415,ə˞,spa
mand1415,ə̃˞,spa
mand1415,ɤ,spa
mand1415,ɤ˞,spa
wuch1236,b̤̥,spa
wuch1236,d̤̥,spa
wuch1236,f,spa
wuch1236,h,spa
wuch1236,j,spa
wuch1236,k,spa
wuch1236,kʰ,spa
wuch1236,l,spa
wuch1236,m,spa
wuch1236,m̩,spa
wuch1236,n,spa
wuch1236,p,spa
wuch1236,pʰ,spa
wuch1236,s,spa
wuch1236,t,spa
wuch1236,ts,spa
wuch1236,tsʰ,spa
wuch1236,tz̤̥,spa
wuch1236,tʰ,spa
wuch1236,v,spa
wuch1236,w,spa
wuch1236,z,spa
wuch1236,z̞̩,spa
wuch1236,ŋ,spa
wuch1236,ŋ̩,spa
wuch1236,ɡ̤̥,spa
wuch1236,ɦ,spa
wuch1236,ɻ,spa
wuch1236,ʔ,spa
wuch1236,˥,spa
wuch1236,˥˧˥,spa
wuch1236,˦,spa
wuch1236,a,spa
wuch1236,i,spa
wuch1236,ĩ,spa
wuch1236,o̞,spa
wuch1236,õ̞,spa
wuch1236,u,spa
wuch1236,y,spa
wuch1236,æ̃,spa
wuch1236,ə̟,spa
hakk1236,f,spa
hakk1236,h,spa
hakk1236,j,spa
hakk1236,k̟,spa
hakk1236,k̟ʰ,spa
hakk1236,l,spa
hakk1236,mb,spa
hakk1236,m̩,spa
hakk1236,nd,spa
hakk1236,p,spa
hakk1236,pʰ,spa
hakk1236,s,spa
hakk1236,t,spa
hakk1236,ts,spa
hakk1236,tsʰ,spa
hakk1236,tʰ,spa
hakk1236,w,spa
hakk1236,z̞̩,spa
hakk1236,ŋɡ̟,spa
hakk1236,ŋ̩,spa
hakk1236,ʔ,spa
