Name,glottocode,Genus,Family,Latitude,Longitude
"Urat","urat1244","Wapei-Palei","Torricelli",-3.66666666667,142.833333333
"Usarufa","usar1243","Eastern Highlands","Trans-New Guinea",-6.41666666667,145.583333333
"Wagiman","wage1238","Wagiman","Wagiman",-14.0,131.25
"Wakhi","wakh1245","Iranian","Indo-European",36.5,72.0
"Walman","valm1241","Wapei-Palei","Torricelli",-3.21666666667,142.5
"Watjarri","waja1257","Western Pama-Nyungan","Pama-Nyungan",-26.0,117.5
"Waunana","woun1238","Choco","Choco",4.0,-77.0
"Wedau","weda1241","Oceanic","Austronesian",-10.1666666667,150.166666667
"Wolaytta","wola1242","North Omotic","Afro-Asiatic",6.83333333333,37.75
"Woleaian","wole1240","Oceanic","Austronesian",7.33333333333,143.833333333
"Warrnambool","warr1257","Southeastern Pama-Nyungan","Pama-Nyungan",-38.25,142.5
"Warekena","guar1293","Alto-Orinoco","Arawakan",1.5,-67.5
"Warrwa","warr1258","Nyulnyulan","Nyulnyulan",-17.5,123.5
"Xârâcùù","xara1244","Oceanic","Austronesian",-21.6666666667,166.0
"Kombio","komb1272","Kombio-Arapesh","Torricelli",-3.5,142.75
"Xhosa","xhos1239","Bantoid","Niger-Congo",-32.0,27.0
"Yale (Kosarek)","kosa1249","Mek","Trans-New Guinea",-4.08333333333,139.5
"Yingkarta","ying1247","Western Pama-Nyungan","Pama-Nyungan",-25.1666666667,114.833333333
"Yukulta","gang1267","Tangkic","Tangkic",-17.3333333333,138.833333333
"Beria","zagh1240","Eastern Saharan","Saharan",16.0,23.0
"Zapotec (Isthmus)","isth1244","Zapotecan","Oto-Manguean",16.416667,-95.0
"Zapotec (Mitla)","mitl1236","Zapotecan","Oto-Manguean",16.8,-96.25
"Zayse","zays1235","North Omotic","Afro-Asiatic",5.91666666667,37.3333333333
"Zhuang (Northern)","guib1245","Kam-Tai","Tai-Kadai",24.0,108.0
"Zaparo","zapa1253","Zaparoan","Zaparoan",-2.0,-76.3333333333
"Zapotec (Zoogocho)","zoog1238","Zapotecan","Oto-Manguean",17.25,-96.25
"Aghul","aghu1253","Lezgic","Nakh-Daghestanian",41.75,47.6666666667
"Bole","nucl1695","West Chadic","Afro-Asiatic",11.3333333333,11.25
"Baniwa","bani1255","Inland Northern Maipuran","Arawakan",2.66666666667,-66.8333333333
"Bislama","bisl1239","Creoles and Pidgins","other",-16.0,168.0
"Bulu","bulu1251","Bantoid","Niger-Congo",3.0,11.0
"Comox","como1259","Central Salish","Salishan",50.1666666667,-125.0
"Coeur d'Alene","coeu1236","Interior Salish","Salishan",47.25,-116.5
