Source,Target,Id,Length, Type
aco, kho, 252, 0.44999999999999996, Undirected
aco, nav, 253, 0.34615384615384615, Undirected
aco, ndy, 254, 0.4969879518072289, Undirected
aco, ntu, 255, 0.47580645161290325, Undirected
aco, nez, 256, 0.3322784810126582, Undirected
aco, niv, 257, 0.405, Undirected
aco, nko, 258, 0.4903846153846154, Undirected
aco, nug, 259, 0.3790322580645161, Undirected
aco, ond, 260, 0.35904255319148937, Undirected
aco, orh, 261, 0.4954128440366973, Undirected
aco, otm, 262, 0.3620689655172413, Undirected
aco, pms, 263, 0.45394736842105265, Undirected
aco, pai, 264, 0.3828125, Undirected
aco, pau, 265, 0.375, Undirected
aco, prs, 266, 0.5, Undirected
aco, prh, 267, 0.40909090909090906, Undirected
aco, ram, 268, 0.4545454545454546, Undirected
aco, rap, 269, 0.44852941176470584, Undirected
aco, rus, 270, 0.47045454545454546, Undirected
aco, san, 271, 0.48484848484848486, Undirected
aco, snm, 272, 0.4453125, Undirected
aco, sml, 273, 0.44594594594594594, Undirected
aco, shk, 274, 0.38414634146341464, Undirected
aco, sla, 275, 0.40714285714285714, Undirected
aco, spa, 276, 0.4678899082568807, Undirected
aco, squ, 277, 0.39655172413793105, Undirected
aco, swa, 279, 0.44158878504672894, Undirected
aco, tab, 280, 0.41666666666666663, Undirected
aco, tag, 281, 0.43990384615384615, Undirected
aco, tha, 282, 0.4752475247524752, Undirected
aco, tiw, 283, 0.3713592233009708, Undirected
aco, tru, 284, 0.4213483146067416, Undirected
aco, tuk, 285, 0.4386792452830188, Undirected
aco, tur, 286, 0.4932432432432432, Undirected
aco, urk, 287, 0.3846153846153846, Undirected
aco, usa, 288, 0.39814814814814814, Undirected
aco, vie, 289, 0.45560747663551404, Undirected
aco, wra, 290, 0.41752577319587625, Undirected
aco, war, 291, 0.43181818181818177, Undirected
aco, wic, 292, 0.35904255319148937, Undirected
aco, wch, 293, 0.3711340206185567, Undirected
aco, yag, 294, 0.4015151515151515, Undirected
aco, yaq, 295, 0.43160377358490565, Undirected
aco, yim, 297, 0.41129032258064513, Undirected
aco, yor, 298, 0.44859813084112155, Undirected
aco, yko, 299, 0.4191176470588235, Undirected
aco, yur, 300, 0.3286516853932584, Undirected
aco, zqc, 301, 0.40056818181818177, Undirected
aco, zul, 302, 0.4158415841584159, Undirected
aco, ngi, 303, 0.38221153846153844, Undirected
aco, brs, 304, 0.4516129032258065, Undirected
aco, heb, 305, 0.47938144329896903, Undirected
aco, qim, 307, 0.375, Undirected
ain, ala, 311, 0.34375, Undirected
ain, ame, 312, 0.427734375, Undirected
ain, apu, 313, 0.31756756756756754, Undirected
ain, aeg, 314, 0.4648760330578512, Undirected
ain, arp, 315, 0.35, Undirected
ain, arm, 316, 0.4305555555555556, Undirected
ain, asm, 317, 0.3549107142857143, Undirected
ain, awp, 318, 0.39406779661016944, Undirected
ain, bag, 319, 0.42056074766355145, Undirected
ain, bsq, 320, 0.3778195488721805, Undirected
ain, bkr, 321, 0.4044943820224719, Undirected
ain, bej, 322, 0.3984375, Undirected
ain, bma, 323, 0.47663551401869164, Undirected
ain, brh, 324, 0.4591836734693877, Undirected
ain, brm, 325, 0.41463414634146345, Undirected
ain, bur, 326, 0.42600000000000005, Undirected
ain, cah, 327, 0.3236842105263158, Undirected
ain, cnl, 328, 0.3652173913043478, Undirected
ain, cha, 329, 0.375, Undirected
ain, cle, 330, 0.44476744186046513, Undirected
ain, chk, 331, 0.39919354838709675, Undirected
