Name,ISO 639-3,Genus,Family,Macroarea,Latitude,Longitude,Countries
Bankon,abb,Bantoid,Niger-Congo,Africa,4.42,9.58,Cameroon
Bao'an,peh,Mongolic,Altaic,Eurasia,35.75,102.83,China
Baragaunle,loy,Bodic,Sino-Tibetan,Eurasia,28.83,83.83,Nepal
Barasano,bsn,Tucanoan,Tucanoan,South America,-0.17,-70.67,Colombia
Bardi,bcj,Nyulnyulan,Nyulnyulan,Australia,-16.58,122.92,Australia
Bar�,bae,Inland Northern Arawakan,Arawakan,South America,1.0,-67.0,Brazil
Bar�,mot,Motilon,Chibchan,South America,9.0,-73.0,Colombia
Bariba,bba,Southern-Central Gur,Niger-Congo,Africa,10.0,2.5,Nigeria
Basa�,bas,Bantoid,Niger-Congo,Africa,3.92,10.5,Cameroon
Bashkir,bak,Turkic,Altaic,Eurasia,53.0,58.0,Russia
Basque,eus,Basque,Basque,Eurasia,43.0,-3.0,France
Basque (Basaburua and Imoz),eus,Basque,Basque,Eurasia,43.0,-1.67,Spain
Basque (Bidasoa Valley),eus,Basque,Basque,Eurasia,43.0,-3.83,Spain
Basque (Gernica),eus,Basque,Basque,Eurasia,43.33,-3.0,Spain
Basque (Hondarribia),eus,Basque,Basque,Eurasia,42.5,-3.0,Spain
Basque (Lekeitio),eus,Basque,Basque,Eurasia,43.0,-2.5,Spain
Basque (Northern High Navarrese),eus,Basque,Basque,Eurasia,43.33,-2.5,Spain
Basque (O�ati),eus,Basque,Basque,Eurasia,42.5,-3.5,Spain
Basque (Roncalese),eus,Basque,Basque,Eurasia,43.0,-2.0,Spain
Basque (Sakana),eus,Basque,Basque,Eurasia,42.5,-2.0,Spain
Basque (Souletin),eus,Basque,Basque,Eurasia,43.5,-1.5,France
Basque (Zeberio),eus,Basque,Basque,Eurasia,42.0,-3.0,Spain
Batak (Karo),btx,Northwest Sumatra-Barrier Islands,Austronesian,Papunesia,3.25,98.25,Indonesia
Batak (Toba),bbc,Northwest Sumatra-Barrier Islands,Austronesian,Papunesia,2.5,99.0,Indonesia
Baule,bci,Kwa,Niger-Congo,Africa,7.0,-5.0,C�te d'Ivoire
Baure,brg,Bolivia-Parana,Arawakan,South America,-13.08,-64.17,Bolivia
Bayungu,bxj,Western Pama-Nyungan,Pama-Nyungan,Australia,-23.0,114.0,Australia
Beembe,beq,Bantoid,Niger-Congo,Africa,-3.92,14.08,Congo
Begak-Ida'an,dbj,North Borneo,Austronesian,Papunesia,5.25,118.83,Malaysia
Beja,bej,Beja,Afro-Asiatic,Africa,18.0,36.0,Eritrea
Belhare,byw,Mahakiranti,Sino-Tibetan,Eurasia,26.97,87.3,Nepal
Bella Coola,blc,Bella Coola,Salishan,North America,52.5,-126.67,Canada
Bemba,bem,Bantoid,Niger-Congo,Africa,-10.0,28.25,Democratic Republic of Congo
Beng,nhb,Eastern Mande,Mande,Africa,7.83,-4.25,C�te d'Ivoire
Bengali,ben,Indic,Indo-European,Eurasia,24.0,90.0,Bangladesh
Berber (Ayt Seghrouchen Middle Atlas),tzm,Berber,Afro-Asiatic,Africa,33.33,-4.67,Morocco
Berber (Middle Atlas),tzm,Berber,Afro-Asiatic,Africa,33.0,-5.0,Morocco
Berber (Siwa),siz,Berber,Afro-Asiatic,Africa,29.17,25.5,Egypt
Berbice Dutch Creole,brc,Creoles and Pidgins,other,South America,5.33,-58.0,Guyana
Beria,zag,Eastern Saharan,Saharan,Africa,16.0,23.0,Chad
Berta,wti,Berta,Berta,Africa,10.33,34.67,Ethiopia
B�t�,bev,Kru,Niger-Congo,Africa,6.25,-6.25,C�te d'Ivoire
Betta Kurumba,xub,Southern Dravidian,Dravidian,Eurasia,11.5,76.75,India
