description,equivalence_class,frequency,id,in_inventories,name,pk,segment_class
LATIN SMALL LETTER Z - COMBINING BRIDGE BELOW - VERTICAL LINE - LATIN SMALL LETTER Z,z|z,0.013823437,8A52D2AFD9F7B4F62D450B04F7493992,44,z̪|z,773,consonant
LATIN SMALL LETTER F - MODIFIER LETTER SMALL W,f,0.013823437,B0F11F45DD73A42FF8CAC2032DF0CA71,44,fʷ,1191,consonant
LATIN SMALL LETTER T WITH RETROFLEX HOOK - COMBINING DOUBLE VERTICAL LINE BELOW,ʈ,0.013823437,04C0800B16BF1950BFC74DC674F69AEB,44,ʈ͈,3166,consonant
LATIN SMALL LETTER T - COMBINING BRIDGE BELOW - COMBINING DOUBLE VERTICAL LINE BELOW,t,0.013823437,89A340AEACAE3E13C4C107E78C764D2C,44,t̪͈,3172,consonant
LATIN SMALL LETTER D - MODIFIER LETTER TRIANGULAR COLON,d,0.013509268,AF55984F7DCE6CC6910C605F97C59E55,43,dː,205,consonant
LATIN SMALL LETTER ENG - LATIN SMALL LETTER K,ŋk,0.013509268,E627208937A56F5A8C1A5994DE4D9C8A,43,ŋk,375,consonant
LATIN SMALL LETTER T - COMBINING BRIDGE BELOW - COMBINING LEFT ANGLE BELOW,t,0.013509268,290A39B08F69B6536F4B90E98F66EFF9,43,t̪͉,3173,consonant
LATIN SMALL LETTER N WITH LEFT HOOK - MODIFIER LETTER TRIANGULAR COLON,ɲ,0.013195099,B72EA7A6AB24EDF883082F82EAC69ADE,42,ɲː,529,consonant
LATIN SMALL LETTER D WITH TAIL - COMBINING DIAERESIS BELOW,ɖ,0.01288093,D32D22D7FB8C895910556E91EE6B372A,41,ɖ̤,173,consonant
LATIN SMALL LETTER N - LATIN SMALL LETTER T,nt,0.01288093,85724A21B8DBE4FE9B73D6508EFC00D9,41,nt,371,consonant
LATIN SMALL LETTER T - COMBINING MINUS SIGN BELOW - LATIN SMALL LETTER ESH - MODIFIER LETTER TRIANGULAR COLON,tʃ,0.012566761,F271E20422EFEB166A404CD30498F5EE,40,t̠ʃː,197,consonant
LATIN SMALL LETTER TURNED W,ʍ,0.012566761,B2DBBC1A3DE3F1B6731AEEF21C338B9B,40,ʍ,251,consonant
LATIN SMALL LETTER P - LATIN SMALL LETTER F,pf,0.012566761,C78A087FC613D339B76F3A1FD72CCED9,40,pf,630,consonant
LATIN SMALL LETTER ENG - MODIFIER LETTER TRIANGULAR COLON,ŋ,0.012252592,8D8F577E360F581BBCC510A0AD4AD2D4,39,ŋː,223,consonant
LATIN SMALL LETTER TURNED R WITH LONG LEG,ɺ,0.012252592,AF0BA3378B269771157E76E3157F655B,39,ɺ,402,consonant
LATIN SMALL LETTER F - MODIFIER LETTER SMALL J,f,0.011938423,94AD2B51FB011E032DC3E695DB412F3D,38,fʲ,683,consonant
LATIN SMALL LETTER S - MODIFIER LETTER SMALL W,s,0.011938423,6576638EF4391DBEAFB44F37A062CD2D,38,sʷ,1295,consonant
LATIN SMALL LETTER D - COMBINING BRIDGE BELOW - COMBINING DIAERESIS BELOW,d,0.011624254,8102B48ED662ED3BEC1E6C024596DF4F,37,d̪̤,169,consonant
GREEK SMALL LETTER BETA - COMBINING DOWN TACK BELOW,β,0.011624254,51CC41E04001D781FFFB40FBAF6946C2,37,β̞,220,consonant
LATIN SMALL LETTER M - LATIN SMALL LETTER P,mp,0.011624254,BF12DE184C2966E2D5F83A7F25285B98,37,mp,369,consonant
LATIN SMALL LETTER N WITH LEFT HOOK - LATIN SMALL LETTER DOTLESS J WITH STROKE,ɲɟ,0.011624254,E849BE91DF350F760A79E17668E93092,37,ɲɟ,533,consonant
LATIN SMALL LETTER W - MODIFIER LETTER TRIANGULAR COLON,w,0.011310085,4DB108BB5E5FA3A40FED7AD2E0D076C1,36,wː,200,consonant
LATIN SMALL LETTER R - COMBINING RING BELOW,r,0.011310085,27619799640A03D4697D6FDDDB1F74A5,36,r̥,249,consonant
LATIN SMALL LETTER R - MODIFIER LETTER SMALL J,r,0.011310085,4FEA9B23C77E9EA34A6963E4D4FF64BA,36,rʲ,685,consonant
LATIN CAPITAL LETTER R - COMBINING BRIDGE BELOW - VERTICAL LINE - LATIN CAPITAL LETTER R,R|R,0.011310085,DC20C7A23ECD8CC6769DC535D7043519,36,R̪|R,749,consonant
LATIN SMALL LETTER R - COMBINING BRIDGE BELOW,r,0.011310085,C425D93352850DE1476444DA0C387C7F,36,r̪,788,consonant
LATIN LETTER SMALL CAPITAL INVERTED R - MODIFIER LETTER SMALL W,ʁ,0.010681747,020B8B36617F0D60A3D983AF53439AAA,34,ʁʷ,133,consonant
LATIN SMALL LETTER H - MODIFIER LETTER SMALL J,h,0.010681747,25B6E1900A1A13FBD6D6D038CEB4DC6E,34,hʲ,627,consonant
LATIN SMALL LETTER D - COMBINING BRIDGE BELOW - LATIN SMALL LETTER Z - COMBINING BRIDGE BELOW,dz,0.010681747,30D03C9A011ADC5852F9D5AF75161372,34,d̪z̪,840,consonant
LATIN SMALL LETTER ESH - MODIFIER LETTER SMALL W,ʃ,0.010367578,39531FD62BE1C71865C0681EBF03BE96,33,ʃʷ,83,consonant
LATIN SMALL LETTER J - COMBINING TILDE BELOW,j,0.010367578,0002A9D045F6F82C34C822EB423E0C40,33,j̰,459,consonant
LATIN SMALL LETTER W - COMBINING TILDE BELOW,w,0.010367578,CF906E247F184A2FB8CF5B070B6017F2,33,w̰,464,consonant
LATIN SMALL LETTER N - MODIFIER LETTER SMALL W,n,0.010053409,B9606A0BA2DA557E7E1D2DDED8B251CA,32,nʷ,1275,consonant
LATIN SMALL LETTER S - COMBINING INVERTED BRIDGE BELOW,s,0.010053409,995D91FC168880815FFC96F9436ADEC9,32,s̺,1453,consonant
LATIN SMALL LETTER N WITH LEFT HOOK - COMBINING PLUS SIGN BELOW,ɲ,0.00973924,5219139C492A25130312A2A2D5010359,31,ɲ̟,398,consonant
LATIN SMALL LETTER L WITH MIDDLE TILDE,ɫ,0.00973924,D926DA3DF32136EB5051F2749BFA976F,31,ɫ,1588,consonant
LATIN SMALL LETTER ENG - COMBINING RING BELOW,ŋ,0.009425071,887F49F7E15117E2639E1D17FC0B8EB2,30,ŋ̥,245,consonant
LATIN SMALL LETTER V - MODIFIER LETTER SMALL J,v,0.009425071,E329A7B64222ED9FB9BD784636512300,30,vʲ,689,consonant
LATIN SMALL LETTER Z - MODIFIER LETTER SMALL J,z,0.009425071,F065641E0402A3988BDA88C38E8EB34D,30,zʲ,690,consonant
LATIN SMALL LETTER Q - MODIFIER LETTER SMALL W - MODIFIER LETTER APOSTROPHE,q,0.009110902,1230081C3710A6F95C105998800A8557,29,qʷʼ,77,consonant
LATIN SMALL LETTER S - COMBINING SQUARE BELOW,s,0.009110902,3D40216C9532536F883C5389136C5500,29,s̻,134,consonant
LATIN SMALL LETTER V WITH RIGHT HOOK,ⱱ,0.009110902,0203D1214AA12B47E5D9B4B57C7F1540,29,ⱱ,564,consonant
LATIN SMALL LETTER L - MODIFIER LETTER SMALL W,l,0.009110902,294C0EC4ACA75218E380289C6ED1F071,29,lʷ,1284,consonant
LATIN SMALL LETTER D - COMBINING MINUS SIGN BELOW - LATIN SMALL LETTER EZH - MODIFIER LETTER TRIANGULAR COLON,dʒ,0.008796733,9AD7379E9EDE0754E848B483E75FC61F,28,d̠ʒː,172,consonant
LATIN SMALL LETTER T - COMBINING BRIDGE BELOW - MODIFIER LETTER TRIANGULAR COLON,t,0.008796733,51CBFDAE8C04E0CE821EA819E23EEE42,28,t̪ː,195,consonant
LATIN SMALL LETTER T - LATIN SMALL LETTER L WITH BELT - MODIFIER LETTER APOSTROPHE,tɬ,0.008796733,2DB690B58A1A825334598BDE8BE44D7D,28,tɬʼ,424,consonant
LATIN SMALL LETTER C - MODIFIER LETTER APOSTROPHE,c,0.008796733,8624F957F56BDEBB294A22FB14BB353B,28,cʼ,430,consonant
LATIN SMALL LETTER N WITH LEFT HOOK - COMBINING RING BELOW,ɲ,0.008168395,0A91CF68DC2F5F5D919483CFE48E6EA0,26,ɲ̥,244,consonant
LATIN SMALL LETTER S - MODIFIER LETTER SMALL H,s,0.008168395,A46A14D2493FE98841C383163FC46475,26,sʰ,333,consonant
LATIN SMALL LETTER M - COMBINING TILDE BELOW,m,0.008168395,422FA00F23E4CDA245CD042186636980,26,m̰,461,consonant
LATIN SMALL LETTER K - MODIFIER LETTER SMALL J - MODIFIER LETTER APOSTROPHE,k,0.008168395,DECBDF50EB1C53E9D28098C30225B28D,26,kʲʼ,558,consonant
LATIN SMALL LETTER T - COMBINING MINUS SIGN BELOW - LATIN SMALL LETTER ESH - MODIFIER LETTER SMALL W,tʃ,0.008168395,54A6714004BC6D660C5CD98F98D60CB7,26,t̠ʃʷ,621,consonant
LATIN SMALL LETTER R WITH FISHHOOK - MODIFIER LETTER SMALL J,ɾ,0.008168395,01BEF6DAA818C13F6E8BAD908B0A45E7,26,ɾʲ,629,consonant
LATIN SMALL LETTER R WITH FISHHOOK - COMBINING BRIDGE BELOW - VERTICAL LINE - LATIN SMALL LETTER R WITH FISHHOOK,ɾ|ɾ,0.008168395,E1F1D8406D36DF8972F78C38ACAD23D9,26,ɾ̪|ɾ,779,consonant
LATIN SMALL LETTER DOTLESS J WITH STROKE - COMBINING DIAERESIS BELOW - LATIN SMALL LETTER J WITH CROSSED-TAIL,ɟʝ,0.008168395,EE486D21447604BBEBF7051A45FA8684,26,ɟ̤ʝ,2134,consonant
LATIN SMALL LETTER T - COMBINING BRIDGE BELOW - LATIN SMALL LETTER S - COMBINING BRIDGE BELOW - MODIFIER LETTER SMALL H - VERTICAL LINE - LATIN SMALL LETTER T - LATIN SMALL LETTER S - MODIFIER LETTER SMALL H,ts|ts,0.007854226,16B7BDE9D58C9C10C4A819F2547DBFBE,25,t̪s̪ʰ|tsʰ,755,consonant
LATIN SMALL LETTER Z - MODIFIER LETTER TRIANGULAR COLON,z,0.007540057,55178E3BFB75E825B7E1DDB1ECAC84EA,24,zː,571,consonant
LATIN SMALL LETTER L WITH BELT - COMBINING BRIDGE BELOW - VERTICAL LINE - LATIN SMALL LETTER L WITH BELT,ɬ|ɬ,0.007540057,6E43F0B30A4B333CA1BCBDBE08315D12,24,ɬ̪|ɬ,775,consonant
LATIN SMALL LETTER T - COMBINING BRIDGE BELOW - MODIFIER LETTER APOSTROPHE - VERTICAL LINE - LATIN SMALL LETTER T - MODIFIER LETTER APOSTROPHE,t|t,0.007540057,BB41F6FA01CC80A03310AFA170ECCCA2,24,t̪ʼ|tʼ,785,consonant
LATIN SMALL LETTER J - MODIFIER LETTER SMALL W,j,0.007540057,443395FF76774409E290ED0D776E0EA3,24,jʷ,1283,consonant
SUPERSCRIPT LATIN SMALL LETTER N - LATIN SMALL LETTER B,ⁿb,0.007540057,509069CA8DF565E014E58B279BD73550,24,ⁿb,2553,consonant
LATIN SMALL LETTER T - COMBINING INVERTED BRIDGE BELOW - COMBINING DOUBLE VERTICAL LINE BELOW,t,0.007540057,106AA093E36BAC90EE318DBEFFCF58BF,24,t̺͈,3174,consonant
LATIN SMALL LETTER T - COMBINING INVERTED BRIDGE BELOW - COMBINING LEFT ANGLE BELOW,t,0.007540057,3CCB7F11EEED9228037D52537AA15621,24,t̺͉,3175,consonant
LATIN LETTER GLOTTAL STOP - MODIFIER LETTER SMALL W,ʔ,0.007225888,E473B50B2D71F773C5CA69249A005329,23,ʔʷ,143,consonant
LATIN SMALL LETTER GAMMA - MODIFIER LETTER SMALL W,ɣ,0.007225888,2C506EAD6B506B116E11D445B865A044,23,ɣʷ,419,consonant
LATIN SMALL LETTER T - LATIN SMALL LETTER S - MODIFIER LETTER SMALL J,ts,0.007225888,BD5DD0B4F35DA44F05B251A09476EADF,23,tsʲ,694,consonant
LATIN SMALL LETTER B - COMBINING TILDE BELOW,b,0.007225888,40A21059E3A4B95A15E310EA11A4F874,23,b̰,899,consonant
SUPERSCRIPT LATIN SMALL LETTER N - LATIN SMALL LETTER D,ⁿd,0.007225888,86DD56EA735C71F39ED477D66E5B424A,23,ⁿd,2554,consonant
LATIN SMALL LETTER SCRIPT G - COMBINING DIAERESIS BELOW,ɡ,0.006911719,99BEFB40F8A6555031418CD050561EEE,22,ɡ̤,179,consonant
LATIN SMALL LETTER J - COMBINING RING BELOW,j,0.006911719,EE497CBEEC30D7B561882D17B9037944,22,j̥,322,consonant
LATIN SMALL LETTER T - COMBINING SQUARE BELOW,t,0.006911719,F6EFA3C282F195C662A3F3D46D50D595,22,t̻,396,consonant
LATIN SMALL LETTER G WITH HOOK,ɠ,0.006911719,A7B91F7C0EC9AC0179CEBB1204C26358,22,ɠ,632,consonant
SUPERSCRIPT LATIN SMALL LETTER N - LATIN SMALL LETTER SCRIPT G,ⁿɡ,0.006911719,D797AA48A7F1CCA6F19A6FB38CA4E07E,22,ⁿɡ,2558,consonant
LATIN SMALL LETTER M - COMBINING VERTICAL LINE BELOW,m,0.006597549,DB153A5121319488364F7931B81817A5,21,m̩,308,consonant
LATIN SMALL LETTER M - COMBINING DIAERESIS BELOW,m,0.006597549,F61883B1DE401AAC8D05094B23586566,21,m̤,716,consonant
LATIN SMALL LETTER T - COMBINING MINUS SIGN BELOW,t,0.006597549,E1E0A66A7019DAB26B423051648216D0,21,t̠,764,consonant
LATIN SMALL LETTER B - LATIN SMALL LETTER V,bv,0.006597549,97D36D16793A9A8C6C86298776C37038,21,bv,767,consonant
LATIN LETTER GLOTTAL STOP - MODIFIER LETTER SMALL J,ʔ,0.006597549,DFE30B989816F70CE8FE6D836F517A3A,21,ʔʲ,1280,consonant
LATIN SMALL LETTER D - MODIFIER LETTER SMALL W,d,0.006597549,9BA46C0013343130AEB3AD42A4E6FF7F,21,dʷ,1282,consonant
LATIN SMALL LETTER R - MODIFIER LETTER SMALL W,r,0.006597549,9D6F94762B5A6E13CE29770836F9A364,21,rʷ,1315,consonant
LATIN SMALL LETTER D - COMBINING BRIDGE BELOW - LATIN SMALL LETTER Z - COMBINING BRIDGE BELOW - VERTICAL LINE - LATIN SMALL LETTER D - LATIN SMALL LETTER Z,dz|dz,0.00628338,1072E10F230412B02D03D211E5890FA2,20,d̪z̪|dz,751,consonant
LATIN SMALL LETTER N - COMBINING MINUS SIGN BELOW - LATIN SMALL LETTER T - COMBINING MINUS SIGN BELOW - LATIN SMALL LETTER ESH,ntʃ,0.00628338,5BE4C11A46BF8574A311C86A500B67E9,20,n̠t̠ʃ,848,consonant
LATIN SMALL LETTER N - LATIN SMALL LETTER S,ns,0.00628338,6DDDC3022EB17BD848620F246D867FD1,20,ns,1289,consonant
LATIN SMALL LETTER B - MODIFIER LETTER SMALL H WITH HOOK,b,0.00628338,15464A7A3C2D7A9B750F066632E00939,20,bʱ,1376,consonant
SUPERSCRIPT LATIN SMALL LETTER N - LATIN SMALL LETTER D - LATIN SMALL LETTER Z,ⁿdz,0.00628338,49358D339DC18F612250D8B94259DD43,20,ⁿdz,2555,consonant
LATIN SMALL LETTER D - COMBINING SQUARE BELOW,d,0.005969211,7E92332057C9E596A64F461CBA82AF22,19,d̻,110,consonant
LATIN LETTER SMALL CAPITAL R,ʀ,0.005969211,941A64F284E12ACB5A54580F5D22337A,19,ʀ,377,consonant
LATIN SMALL LETTER Q - MODIFIER LETTER TRIANGULAR COLON,q,0.005969211,8E0A811394AB18A49D7448F524FB77E0,19,qː,412,consonant
LATIN SMALL LETTER N - COMBINING BRIDGE BELOW - LATIN SMALL LETTER D - COMBINING BRIDGE BELOW,nd,0.005969211,F93B22D4CE854AA93D89B48F149A9560,19,n̪d̪,935,consonant
LATIN SMALL LETTER Z - COMBINING INVERTED BRIDGE BELOW,z,0.005969211,0AD5B815A37D7A245DAC0F5E164ECCD0,19,z̺,2052,consonant
LATIN SMALL LETTER N - COMBINING SQUARE BELOW,n,0.005655042,20C1F9AD9776790CC5F64837AE0C94FC,18,n̻,126,consonant
LATIN SMALL LETTER L - COMBINING DIAERESIS BELOW,l,0.005655042,7A6E282428E30E734D69822920207F64,18,l̤,387,consonant
LATIN SMALL LETTER W - COMBINING TILDE,w,0.005655042,2F8A9928FFFCAAAA91D98EB89CC2436B,18,w̃,468,consonant
LATIN LETTER GLOTTAL STOP - MODIFIER LETTER TRIANGULAR COLON,ʔ,0.005655042,9920C29AC2DA829A92EC1BC2C1504849,18,ʔː,489,consonant
LATIN SMALL LETTER D - COMBINING MINUS SIGN BELOW - LATIN SMALL LETTER EZH - MODIFIER LETTER SMALL W,dʒ,0.005655042,BF5929006CF49F2E42EFD3C152EBE4E2,18,d̠ʒʷ,620,consonant
LATIN SMALL LETTER M WITH HOOK,ɱ,0.005655042,E61654B85E72EDDB4ADA812B48BA9452,18,ɱ,678,consonant
LATIN SMALL LETTER N WITH LEFT HOOK - MODIFIER LETTER SMALL W,ɲ,0.005655042,471E09F92E1FBA644B9AAC2EA4951167,18,ɲʷ,770,consonant
LATIN SMALL LETTER B - COMBINING RING BELOW,b,0.005655042,CF16A4B609D0F5EF4BC2327A6A83F58A,18,b̥,2277,consonant
LATIN SMALL LETTER ENG - COMBINING RING ABOVE,ŋ,0.005655042,DC64DF688224E6FD840EEFC3767FDBE6,18,ŋ̊,2394,consonant
LATIN SMALL LETTER D - COMBINING BRIDGE BELOW - MODIFIER LETTER TRIANGULAR COLON,d,0.005340873,6D9557888F3B3AF0CE9FDFC5E8A3E00A,17,d̪ː,170,consonant
LATIN SMALL LETTER D - COMBINING DIAERESIS BELOW,d,0.005340873,F52FDCB8A1E6B74B993DE6E648C10637,17,d̤,204,consonant
LATIN SMALL LETTER X - MODIFIER LETTER TRIANGULAR COLON,x,0.005340873,B33DAA0CB446FEFE63A2AB28D5C85ABA,17,xː,416,consonant
LATIN SMALL LETTER N - COMBINING TILDE BELOW,n,0.005340873,CA104009E4C75968ABCCA821A14B49E9,17,n̰,462,consonant
LATIN SMALL LETTER P - MODIFIER LETTER SMALL J - MODIFIER LETTER SMALL H,p,0.005340873,3B4E2188086496B9803EA76F0ADDBC08,17,pʲʰ,628,consonant
LATIN SMALL LETTER T - COMBINING BRIDGE BELOW - LATIN SMALL LETTER S - COMBINING BRIDGE BELOW - MODIFIER LETTER APOSTROPHE - VERTICAL LINE - LATIN SMALL LETTER T - LATIN SMALL LETTER S - MODIFIER LETTER APOSTROPHE,ts|ts,0.005340873,55C52DF7932E2CE9E5C906E131B025E0,17,t̪s̪ʼ|tsʼ,816,consonant
LATIN SMALL LETTER T - COMBINING BRIDGE BELOW - LATIN SMALL LETTER S - COMBINING BRIDGE BELOW - MODIFIER LETTER SMALL H,ts,0.005340873,8320148991AF7DEE52866916B00B49A3,17,t̪s̪ʰ,841,consonant
LATIN SMALL LETTER N - COMBINING BRIDGE BELOW - LATIN SMALL LETTER D - COMBINING BRIDGE BELOW - VERTICAL LINE - LATIN SMALL LETTER N - LATIN SMALL LETTER D,nd|nd,0.005340873,97FE2DF095CE7400549873A39F851527,17,n̪d̪|nd,905,consonant
LATIN SMALL LETTER Z - MODIFIER LETTER SMALL W,z,0.005340873,52A02A54B8DDD98E4E4860BC2D154170,17,zʷ,1297,consonant
LATIN SMALL LETTER SCRIPT G - COMBINING RING ABOVE,ɡ,0.005340873,5E6EBD9C5D05CD1F46B91AFFA9C20826,17,ɡ̊,2282,consonant
LATIN SMALL LETTER B - MODIFIER LETTER SMALL H,b,0.005340873,1F0B39C9E43EDAD4E4E4BCEC2A2C955D,17,bʰ,2602,consonant
LATIN SMALL LETTER Z - COMBINING SQUARE BELOW,z,0.005026704,92B41E9C14B6FD2564CABDE05D20ED97,16,z̻,142,consonant
LATIN SMALL LETTER N - COMBINING VERTICAL LINE BELOW,n,0.005026704,1A98C4788575E4A5B9BC24ABDAAAF566,16,n̩,324,consonant
LATIN SMALL LETTER K - MODIFIER LETTER SMALL J - MODIFIER LETTER SMALL H,k,0.005026704,223BEBB6C27C0E6D15422BD5971880A9,16,kʲʰ,355,consonant
LATIN SMALL LETTER TURNED Y - COMBINING PLUS SIGN BELOW,ʎ,0.005026704,0F4A01D09FA5A26DA871FB50D7FF0296,16,ʎ̟,399,consonant
LATIN SMALL LETTER S - MODIFIER LETTER APOSTROPHE,s,0.005026704,825B20CB261AC2AAD034C4B8C3BC5DFC,16,sʼ,448,consonant
LATIN SMALL LETTER ESH - MODIFIER LETTER SMALL J,ʃ,0.005026704,05AAE50FCBC4CE231B54BFDACEBCF7A6,16,ʃʲ,516,consonant
LATIN SMALL LETTER SCRIPT G - MODIFIER LETTER SMALL H,ɡ,0.005026704,6AA3FEA3758FF09B65D27B20D04B0660,16,ɡʰ,2605,consonant
LATIN SMALL LETTER T WITH RETROFLEX HOOK - MODIFIER LETTER TRIANGULAR COLON,ʈ,0.004712535,A2B97A142E3389D4C9DA6B029528BCFF,15,ʈː,198,consonant
LATIN SMALL LETTER M - LATIN SMALL LETTER B - MODIFIER LETTER SMALL W,mb,0.004712535,DCA95603F25D35DC7849C173B1B63642,15,mbʷ,403,consonant
LATIN SMALL LETTER T - LATIN SMALL LETTER L WITH BELT,tɬ,0.004712535,5685FEAEF0E34B92C6562FDE7687D3DA,15,tɬ,422,consonant
LATIN SMALL LETTER H - MODIFIER LETTER TRIANGULAR COLON,h,0.004712535,96F8300A3A6F5A403C59356C3B456BE4,15,hː,446,consonant
LATIN SMALL LETTER T - COMBINING MINUS SIGN BELOW - LATIN SMALL LETTER ESH - MODIFIER LETTER APOSTROPHE - MODIFIER LETTER TRIANGULAR COLON,tʃ,0.004712535,3F187EC2BD0D795B647E6CF67DD10761,15,t̠ʃʼː,486,consonant
LATIN SMALL LETTER EZH - MODIFIER LETTER TRIANGULAR COLON,ʒ,0.004712535,758F2308C850F1A7F7892E8E3C94B1AF,15,ʒː,572,consonant
LATIN SMALL LETTER T - COMBINING MINUS SIGN BELOW - LATIN SMALL LETTER ESH - MODIFIER LETTER SMALL J,tʃ,0.004712535,669DDE9466BD7E8128CB0D0BFB3A2B20,15,t̠ʃʲ,688,consonant
LATIN SMALL LETTER N WITH LEFT HOOK - COMBINING RING ABOVE,ɲ,0.004712535,7145DA37441D46468137A8F0833E6787,15,ɲ̊,2393,consonant
LATIN SMALL LETTER T - COMBINING INVERTED BRIDGE BELOW - MODIFIER LETTER SMALL H,t,0.004712535,192565CF2232F788E474AD44A337BBE3,15,t̺ʰ,2525,consonant
LATIN SMALL LETTER D - COMBINING MINUS SIGN BELOW - LATIN SMALL LETTER EZH - COMBINING DIAERESIS BELOW,dʒ,0.004398366,029914817EE9A3EA4598C8EF2F6AC7AE,14,d̠ʒ̤,171,consonant
LATIN SMALL LETTER K - MODIFIER LETTER APOSTROPHE - MODIFIER LETTER TRIANGULAR COLON,k,0.004398366,94051C4D65D0EEC3F7E4687363F16AE6,14,kʼː,481,consonant
LATIN SMALL LETTER DOTLESS J WITH STROKE - MODIFIER LETTER TRIANGULAR COLON,ɟ,0.004398366,13A4A3E1AFA73AE37646634033A9D34E,14,ɟː,611,consonant
LATIN SMALL LETTER K - LATIN LETTER RETROFLEX CLICK,kǃ,0.004398366,18CEC675864CD88FB8E62C3BE51A7A56,14,kǃ,636,consonant
LATIN SMALL LETTER L - COMBINING TILDE BELOW,l,0.004398366,EDC5FF3AC1969BF9330299A0B4DE602A,14,l̰,929,consonant
LATIN SMALL LETTER D WITH HOOK - COMBINING BRIDGE BELOW - VERTICAL LINE - LATIN SMALL LETTER D WITH HOOK,ɗ|ɗ,0.004398366,4B4E90E0C97828AA3C5A1C11C1DD08BB,14,ɗ̪|ɗ,931,consonant
LATIN SMALL LETTER X - MODIFIER LETTER SMALL J,x,0.004398366,CFDC3D2764B7C450CAB7DFC1854E8C75,14,xʲ,1011,consonant
LATIN SMALL LETTER D WITH TAIL - MODIFIER LETTER SMALL H,ɖ,0.004398366,A86FE9374CDF8B0B4762996156F388C2,14,ɖʰ,2604,consonant
SUPERSCRIPT LATIN SMALL LETTER N - LATIN SMALL LETTER D - LATIN SMALL LETTER Z WITH CURL,ⁿdʑ,0.004398366,AA59CC47152D3A733DE9149AD677C5C3,14,ⁿdʑ,2692,consonant
LATIN SMALL LETTER T - LATIN SMALL LETTER S - MODIFIER LETTER TRIANGULAR COLON,ts,0.004084197,322CF5CB42BB9E3F7DC4393B92A90F7C,13,tsː,218,consonant
LATIN SMALL LETTER ENG - COMBINING VERTICAL LINE BELOW,ŋ,0.004084197,A7660FC91949DF90F5C897DE06CB1D96,13,ŋ̩,309,consonant
LATIN SMALL LETTER J - COMBINING TILDE,j,0.004084197,8E5C34586795133BB63747F3E0FE57B9,13,j̃,467,consonant
LATIN SMALL LETTER T - MODIFIER LETTER APOSTROPHE - MODIFIER LETTER TRIANGULAR COLON,t,0.004084197,621CCB2F15954DE1F5EEDA27735838D0,13,tʼː,487,consonant
LATIN SMALL LETTER V - MODIFIER LETTER TRIANGULAR COLON,v,0.004084197,65E3E8CBCB25FDD4C20F50FBE2AE687E,13,vː,731,consonant
LATIN SMALL LETTER L - COMBINING MINUS SIGN BELOW,l,0.004084197,56B9954890127E90B74FC1147AE7B74E,13,l̠,762,consonant
LATIN SMALL LETTER EZH - MODIFIER LETTER SMALL W,ʒ,0.004084197,D85E3F93860FAF970C688925D4C69031,13,ʒʷ,821,consonant
LATIN SMALL LETTER TURNED R WITH HOOK - MODIFIER LETTER SMALL W,ɻ,0.004084197,2C03BF4BE7ABD1D4BF13196B0505A53C,13,ɻʷ,1344,consonant
LATIN SMALL LETTER P - COMBINING TILDE BELOW,p,0.004084197,1F921FEBD8D693905940759A34A6E550,13,p̰,1362,consonant
LATIN SMALL LETTER D - COMBINING BRIDGE BELOW - MODIFIER LETTER SMALL H WITH HOOK,d,0.004084197,C22BDDEEBC4121FE4B365062429ACB88,13,d̪ʱ,1377,consonant
LATIN SMALL LETTER T - COMBINING INVERTED BRIDGE BELOW - LATIN SMALL LETTER S - COMBINING INVERTED BRIDGE BELOW,ts,0.004084197,C6FAEC5142C263115CD52B0C7B9211C8,13,t̺s̺,1454,consonant
LATIN SMALL LETTER D WITH HOOK - MODIFIER LETTER TRIANGULAR COLON,ɗ,0.004084197,0F8D0A4E149EDA74294F860CA8F96E12,13,ɗː,1696,consonant
LATIN SMALL LETTER T - COMBINING INVERTED BRIDGE BELOW - MODIFIER LETTER APOSTROPHE,t,0.004084197,E4A98C7D9207A5C86F077F9107EE8989,13,t̺ʼ,2630,consonant
LATIN SMALL LETTER L - MODIFIER LETTER SMALL GAMMA,l,0.003770028,0D5532C7D78A47723C3DCBA529FD22B6,12,lˠ,48,consonant
LATIN SMALL LETTER Q - MODIFIER LETTER SMALL W - MODIFIER LETTER SMALL H,q,0.003770028,371CBFDF45EF7940161892D54B8E1342,12,qʷʰ,76,consonant
MODIFIER LETTER GLOTTAL STOP - LATIN SMALL LETTER M,m,0.003770028,BA640BECA114188D583D6BE46A93283F,12,ˀm,253,consonant
LATIN SMALL LETTER T WITH RETROFLEX HOOK - LATIN SMALL LETTER S WITH HOOK - MODIFIER LETTER APOSTROPHE,ʈʂ,0.003770028,07A5AC4B034CB0AB5D7EDE061466784F,12,ʈʂʼ,429,consonant
LATIN SMALL LETTER K - LATIN LETTER DENTAL CLICK,kǀ,0.003770028,3233E8D478F39E8E9CE9A182309F7705,12,kǀ,634,consonant
LATIN SMALL LETTER M - LATIN SMALL LETTER P - MODIFIER LETTER SMALL H,mp,0.003770028,3CB36417FA2A7E504A8C4F925C6F2CF4,12,mpʰ,916,consonant
LATIN SMALL LETTER M WITH HOOK - LATIN SMALL LETTER F,ɱf,0.003770028,A8DF5DEC65F0B364A2F94B522E976B58,12,ɱf,1285,consonant
LATIN SMALL LETTER K - COMBINING TILDE BELOW,k,0.003770028,4121D651D50EEB87A9945DF90AE757F0,12,k̰,1354,consonant
